post_id,user_id,timestamp,post_content,num_shares,num_reactions,source_link,sentiment_score,suspicious_keyword_count,engagement_rate,is_anomaly,is_misinformation,entities
POST_0080,user_033,2025-09-16 15:49:42,Just finished reading an amazing book! Highly recommend it. #blessed #grateful,18,94,bloomberg.com,0.79,0,112,False,False,N/A
POST_0151,user_030,2025-09-25 06:59:04,Excited to announce my new job at ABC Company!,49,49,UNKNOWN,0.87,0,98,False,False,N/A
POST_0046,user_112,2025-09-20 14:36:27,Beautiful sunset at the beach today. Nature is incredible.,27,82,bbc.com,0.41,0,109,False,False,N/A
POST_0191,user_126,2025-09-14 17:55:01,Finished my first marathon today! Feeling accomplished.,4,62,UNKNOWN,0.67,0,66,False,False,N/A
POST_0184,user_022,2025-10-02 03:51:34,Amazing day volunteering at the local shelter.,38,28,UNKNOWN,0.36,0,66,False,False,N/A
POST_0119,user_102,2025-09-08 23:20:14,Just planted some vegetables in my garden.,29,52,bloomberg.com,0.31,0,81,False,False,N/A
POST_0159,user_094,2025-09-20 00:10:33,Amazing day volunteering at the local shelter.,49,48,nytimes.com,0.73,0,97,False,False,N/A
POST_0201,user_128,2025-10-07 11:20:25,Watching the stars tonight — feeling peaceful and blessed.,41,43,UNKNOWN,0.74,0,84,False,False,N/A
POST_0115,user_036,2025-09-28 18:43:47,Just finished a coding project I’ve been working on for weeks!,41,10,UNKNOWN,0.45,0,51,False,False,N/A
POST_0023,user_025,2025-09-30 04:08:34,Celebrating our anniversary today. Love you honey!,26,64,nytimes.com,0.64,0,90,False,False,N/A
POST_0170,user_073,2025-09-10 20:03:35,Amazing day volunteering at the local shelter. #blessed #grateful,32,23,bbc.com,0.86,0,55,False,False,N/A
POST_0270,user_100,2025-09-30 08:07:31,THIS ONE WEIRD TRICK WILL SOLVE ALL YOUR PROBLEMS INSTANTLY!,873,343,beforetheydelete.com,-0.39,0,1216,True,True,N/A
POST_0246,user_060,2025-09-25 21:35:02,Beautiful sunset at the beach today. Nature is incredible.,49,12,UNKNOWN,0.89,0,61,False,False,N/A
POST_0169,user_036,2025-10-05 22:49:48,Family gathering this weekend was so much fun. #blessed #grateful,30,52,UNKNOWN,0.18,0,82,False,False,N/A
POST_0134,user_142,2025-10-01 21:13:35,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,14,57,UNKNOWN,0.46,0,71,False,False,N/A
POST_0121,user_017,2025-09-29 05:44:51,Watching the stars tonight — feeling peaceful and blessed.,19,88,UNKNOWN,0.21,0,107,False,False,N/A
POST_0190,user_133,2025-09-21 07:53:23,Supporting local businesses is always a good idea.,49,38,national-geographic.com,0.9,0,87,False,False,N/A
POST_0054,user_148,2025-09-15 13:30:31,Congratulations to our team for winning the championship!,31,56,UNKNOWN,0.62,0,87,False,False,N/A
POST_0042,user_106,2025-10-04 12:41:54,Great concert last night. The band was fantastic. #blessed #grateful,15,39,UNKNOWN,0.66,0,54,False,False,N/A
POST_0232,user_078,2025-09-27 14:22:07,Loving the new coffee shop downtown. Great atmosphere. #blessed #grateful,16,88,UNKNOWN,0.29,0,104,False,False,N/A
POST_0129,user_005,2025-09-13 22:49:15,Just adopted a cute puppy. Meet Max!,47,58,UNKNOWN,0.7,0,105,False,False,N/A
POST_0187,user_041,2025-10-08 14:56:01,Just planted some vegetables in my garden.,38,91,nytimes.com,0.2,0,129,False,False,N/A
POST_0229,user_029,2025-09-18 20:32:36,Morning workout complete. Ready to start the day!,41,37,nytimes.com,0.69,0,78,False,False,N/A
POST_0089,user_146,2025-10-08 00:14:14,Finished my first marathon today! Feeling accomplished.,29,93,UNKNOWN,0.42,0,122,False,False,N/A
POST_0044,user_050,2025-09-21 01:04:02,Just adopted a cute puppy. Meet Max!,4,40,UNKNOWN,0.51,0,44,False,False,N/A
POST_0248,user_106,2025-09-17 22:49:42,Weekend hike was breathtaking. Can’t wait to go back!,37,99,bloomberg.com,0.64,0,136,False,False,N/A
POST_0124,user_072,2025-09-10 13:09:20,Celebrating our anniversary today. Love you honey! #blessed #grateful,28,61,un.org,0.39,0,89,False,False,N/A
POST_0075,user_071,2025-09-25 15:19:19,Loving the new coffee shop downtown. Great atmosphere.,5,35,theguardian.com,0.54,0,40,False,False,N/A
POST_0074,user_098,2025-09-18 15:18:01,So grateful for the support of my friends and family.,20,28,UNKNOWN,0.38,0,48,False,False,N/A
POST_0062,user_125,2025-09-15 23:13:38,Watching the stars tonight — feeling peaceful and blessed. #blessed #grateful,1,54,UNKNOWN,0.64,0,55,False,False,N/A
POST_0294,user_138,2025-09-14 02:06:19,YOU WON'T BELIEVE WHAT CELEBRITIES ARE SECRETLY DOING! CLICK NOW!,568,316,UNKNOWN,-0.3,2,884,True,True,N/A
POST_0021,user_019,2025-10-01 10:49:21,So grateful for the support of my friends and family.,4,9,bbc.com,0.51,0,13,False,False,N/A
POST_0176,user_037,2025-09-18 03:46:46,So grateful for the support of my friends and family.,22,35,UNKNOWN,0.25,0,57,False,False,N/A
POST_0143,user_146,2025-09-27 17:42:10,Supporting local businesses is always a good idea.,9,25,nytimes.com,0.64,0,34,False,False,N/A
POST_0130,user_093,2025-09-25 08:52:35,Proud of my little sister for graduating with honors!,32,33,nytimes.com,0.68,0,65,False,False,N/A
POST_0239,user_079,2025-10-01 15:11:23,Morning workout complete. Ready to start the day!,0,100,UNKNOWN,0.16,0,100,False,False,N/A
POST_0207,user_127,2025-09-28 11:29:37,Beautiful sunset at the beach today. Nature is incredible.,18,73,UNKNOWN,0.19,0,91,False,False,N/A
POST_0152,user_061,2025-09-11 19:02:19,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,11,82,UNKNOWN,0.71,0,93,False,False,N/A
POST_0063,user_120,2025-10-07 19:25:41,Movie night with friends. Perfect way to end the week. #blessed #grateful,1,55,UNKNOWN,0.63,0,56,False,False,N/A
POST_0086,user_001,2025-09-22 05:30:45,Tried a new restaurant today and the food was incredible!,30,42,UNKNOWN,0.33,0,72,False,False,N/A
POST_0008,user_042,2025-09-23 03:04:06,Tried a new restaurant today and the food was incredible! #blessed #grateful,40,93,UNKNOWN,0.65,0,133,False,False,N/A
POST_0255,user_062,2025-09-26 01:35:25,Family gathering this weekend was so much fun.,24,64,UNKNOWN,0.39,0,88,False,False,N/A
POST_0267,user_085,2025-09-26 18:43:40,THIS NATURAL CURE DESTROYS CANCER! BIG PHARMA DOESN'T WANT YOU TO KNOW!,143,435,UNKNOWN,-0.29,1,578,True,True,N/A
POST_0250,user_048,2025-10-03 08:16:22,Check out this recipe I tried today. It turned out delicious!,14,43,wikipedia.org,0.74,0,57,False,False,N/A
POST_0007,user_091,2025-09-15 12:03:51,Just planted some vegetables in my garden.,43,87,UNKNOWN,0.61,0,130,False,False,N/A
POST_0233,user_079,2025-09-14 03:29:39,Weekend hike was breathtaking. Can’t wait to go back!,45,44,bloomberg.com,0.83,0,89,False,False,N/A
POST_0051,user_083,2025-09-23 05:14:50,So grateful for the support of my friends and family.,13,70,UNKNOWN,0.82,0,83,False,False,N/A
POST_0261,user_060,2025-09-11 12:55:07,BREAKING! Scientists discover cure for all diseases! Government hiding it from you!,323,717,fakenews-source.net,-0.47,3,1040,True,True,N/A
POST_0066,user_018,2025-10-03 10:48:55,Just planted some vegetables in my garden.,1,36,UNKNOWN,0.12,0,37,False,False,N/A
POST_0067,user_122,2025-09-29 18:22:20,Check out this recipe I tried today. It turned out delicious!,29,94,UNKNOWN,0.4,0,123,False,False,N/A
POST_0027,user_016,2025-09-14 02:46:31,Family gathering this weekend was so much fun. #blessed #grateful,16,63,UNKNOWN,0.66,0,79,False,False,N/A
POST_0164,user_125,2025-09-14 21:54:16,Family gathering this weekend was so much fun.,4,42,bbc.com,0.51,0,46,False,False,N/A
POST_0004,user_087,2025-09-11 17:10:13,Family gathering this weekend was so much fun. #blessed #grateful,22,49,who.int,0.13,0,71,False,False,N/A
POST_0223,user_028,2025-09-28 14:23:22,Learning to play the guitar — progress feels great!,15,11,cnn.com,0.28,0,26,False,False,N/A
POST_0157,user_083,2025-09-28 06:18:16,So grateful for the support of my friends and family.,3,62,UNKNOWN,0.82,0,65,False,False,N/A
POST_0098,user_031,2025-09-28 19:18:06,Happy birthday to my best friend! Hope you have a wonderful day.,45,42,UNKNOWN,0.32,0,87,False,False,N/A
POST_0011,user_068,2025-10-02 09:14:04,Supporting local businesses is always a good idea.,37,56,UNKNOWN,0.9,0,93,False,False,N/A
POST_0036,user_073,2025-09-27 21:31:28,Tried a new restaurant today and the food was incredible!,13,92,scientificamerican.com,0.5,0,105,False,False,N/A
POST_0167,user_115,2025-09-16 08:01:26,Just finished a coding project I’ve been working on for weeks! #blessed #grateful,50,65,national-geographic.com,0.39,0,115,False,False,N/A
POST_0131,user_118,2025-09-28 14:49:37,Weekend hike was breathtaking. Can’t wait to go back!,25,59,theguardian.com,0.67,0,84,False,False,N/A
POST_0120,user_096,2025-09-12 12:00:37,Movie night with friends. Perfect way to end the week. #blessed #grateful,1,84,cnn.com,0.36,0,85,False,False,N/A
POST_0142,user_024,2025-10-02 06:59:31,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,26,63,UNKNOWN,0.4,0,89,False,False,N/A
POST_0099,user_063,2025-09-23 07:55:31,Proud of my little sister for graduating with honors! #blessed #grateful,12,81,UNKNOWN,0.8,0,93,False,False,N/A
POST_0224,user_106,2025-09-19 13:16:13,Just adopted a cute puppy. Meet Max!,43,22,UNKNOWN,0.54,0,65,False,False,N/A
POST_0076,user_126,2025-09-22 14:51:25,Just adopted a cute puppy. Meet Max!,14,56,scientificamerican.com,0.63,0,70,False,False,N/A
POST_0242,user_090,2025-09-11 20:20:32,Tried a new restaurant today and the food was incredible!,33,21,national-geographic.com,0.77,0,54,False,False,N/A
POST_0111,user_077,2025-09-29 04:30:23,Just planted some vegetables in my garden. #blessed #grateful,29,43,UNKNOWN,0.41,0,72,False,False,N/A
POST_0173,user_036,2025-10-03 13:16:35,Proud of my little sister for graduating with honors!,39,5,nytimes.com,0.3,0,44,False,False,N/A
POST_0175,user_118,2025-09-10 18:40:04,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,31,81,UNKNOWN,0.61,0,112,False,False,N/A
POST_0283,user_119,2025-10-09 12:59:35,BREAKING! SCIENTISTS DISCOVER CURE FOR ALL DISEASES! GOVERNMENT HIDING IT FROM YOU!,916,498,clickbait-central.com,-0.33,3,1414,True,True,N/A
POST_0136,user_025,2025-10-02 14:09:58,Congratulations to our team for winning the championship!,8,76,UNKNOWN,0.87,0,84,False,False,N/A
POST_0189,user_036,2025-09-25 02:11:27,Just finished a coding project I’ve been working on for weeks!,41,40,UNKNOWN,0.19,0,81,False,False,N/A
POST_0103,user_098,2025-09-21 12:36:59,Learning to play the guitar — progress feels great! #blessed #grateful,41,24,UNKNOWN,0.13,0,65,False,False,N/A
POST_0281,user_046,2025-10-09 03:06:25,Amazing discovery that pharmaceutical companies are hiding!,852,702,fakehealthtips.org,-0.73,0,1554,True,True,N/A
POST_0140,user_007,2025-09-28 12:39:51,Weekend hike was breathtaking. Can’t wait to go back!,17,8,UNKNOWN,0.66,0,25,False,False,N/A
POST_0081,user_004,2025-09-27 00:16:37,Proud of my little sister for graduating with honors!,28,48,UNKNOWN,0.14,0,76,False,False,N/A
POST_0028,user_143,2025-09-30 13:17:16,Supporting local businesses is always a good idea. #blessed #grateful,12,42,UNKNOWN,0.15,0,54,False,False,N/A
POST_0155,user_019,2025-09-18 05:14:09,Beautiful sunset at the beach today. Nature is incredible.,3,52,bbc.com,0.62,0,55,False,False,N/A
POST_0274,user_040,2025-10-02 03:06:30,BREAKING NEWS: Celebrity died! (actually fake) Share now!,209,293,UNKNOWN,-0.68,1,502,True,True,N/A
POST_0057,user_141,2025-09-22 20:34:02,Celebrating our anniversary today. Love you honey! #blessed #grateful,30,62,UNKNOWN,0.3,0,92,False,False,N/A
POST_0289,user_007,2025-09-23 18:04:33,NASA admits the moon landing was faked all along!,187,318,beforetheydelete.com,-0.8,0,505,True,True,N/A
POST_0245,user_018,2025-09-12 09:48:35,Just finished reading an amazing book! Highly recommend it.,38,91,nytimes.com,0.3,0,129,False,False,N/A
POST_0206,user_079,2025-09-23 14:51:32,Amazing day volunteering at the local shelter.,32,63,national-geographic.com,0.57,0,95,False,False,N/A
POST_0002,user_024,2025-09-14 22:18:45,Celebrating our anniversary today. Love you honey!,1,76,UNKNOWN,0.62,0,77,False,False,N/A
POST_0181,user_052,2025-10-06 16:07:06,Family gathering this weekend was so much fun.,19,70,UNKNOWN,0.75,0,89,False,False,N/A
POST_0068,user_030,2025-10-02 20:05:13,Watching the stars tonight — feeling peaceful and blessed.,37,8,forbes.com,0.64,0,45,False,False,N/A
POST_0009,user_059,2025-10-04 16:37:27,Just finished a coding project I’ve been working on for weeks! #blessed #grateful,25,39,UNKNOWN,0.83,0,64,True,True,N/A
POST_0128,user_139,2025-09-16 19:53:49,Check out this recipe I tried today. It turned out delicious! #blessed #grateful,1,21,UNKNOWN,0.73,0,22,True,True,N/A
POST_0237,user_138,2025-09-12 20:07:01,Amazing day volunteering at the local shelter.,33,61,UNKNOWN,0.26,0,94,False,False,N/A
POST_0182,user_049,2025-09-18 02:41:56,Proud of my little sister for graduating with honors!,3,88,UNKNOWN,0.2,0,91,False,False,N/A
POST_0227,user_102,2025-10-04 05:58:06,Beautiful sunset at the beach today. Nature is incredible. #blessed #grateful,47,42,nytimes.com,0.34,0,89,False,False,N/A
POST_0217,user_016,2025-09-30 19:19:20,Watching the stars tonight — feeling peaceful and blessed. #blessed #grateful,35,46,theguardian.com,0.52,0,81,False,False,N/A
POST_0105,user_040,2025-09-11 06:36:23,Supporting local businesses is always a good idea.,21,84,bloomberg.com,0.16,0,105,False,False,N/A
POST_0100,user_107,2025-09-19 07:03:59,Congratulations to our team for winning the championship!,0,41,un.org,0.57,0,41,False,False,N/A
POST_0049,user_105,2025-09-19 03:30:25,Finished my first marathon today! Feeling accomplished.,35,21,UNKNOWN,0.63,0,56,False,False,N/A
POST_0018,user_137,2025-10-02 18:54:49,Congratulations to our team for winning the championship! #blessed #grateful,30,75,UNKNOWN,0.52,0,105,False,False,N/A
POST_0039,user_140,2025-09-10 02:23:42,Learning to play the guitar — progress feels great! #blessed #grateful,9,60,UNKNOWN,0.35,0,69,False,False,N/A
POST_0165,user_135,2025-09-10 12:08:03,Tried a new restaurant today and the food was incredible! #blessed #grateful,49,84,UNKNOWN,0.4,0,133,False,False,N/A
POST_0048,user_018,2025-10-09 12:44:28,Family gathering this weekend was so much fun.,39,45,bbc.com,0.68,0,84,False,False,N/A
POST_0158,user_022,2025-09-25 10:57:09,Great concert last night. The band was fantastic. #blessed #grateful,15,95,UNKNOWN,0.45,0,110,False,False,N/A
POST_0271,user_089,2025-09-09 18:13:21,NASA ADMITS THE MOON LANDING WAS FAKED ALL ALONG!,958,277,fakehealthtips.org,-0.47,0,1235,True,True,N/A
POST_0258,user_098,2025-09-26 22:17:42,Amazing discovery that pharmaceutical companies are hiding!,770,545,UNKNOWN,-0.32,0,1315,True,True,N/A
POST_0210,user_087,2025-09-26 02:34:16,Happy birthday to my best friend! Hope you have a wonderful day.,12,82,UNKNOWN,0.5,0,94,False,False,N/A
POST_0094,user_117,2025-09-11 01:02:27,Just finished a coding project I’ve been working on for weeks!,7,56,un.org,0.89,0,63,False,False,N/A
POST_0172,user_008,2025-09-18 18:39:52,Congratulations to our team for winning the championship!,41,47,wikipedia.org,0.13,0,88,False,False,N/A
POST_0050,user_045,2025-09-28 09:05:32,Movie night with friends. Perfect way to end the week.,35,5,UNKNOWN,0.27,0,40,False,False,N/A
POST_0030,user_018,2025-09-27 17:30:02,Congratulations to our team for winning the championship! #blessed #grateful,15,56,UNKNOWN,0.81,0,71,False,False,N/A
POST_0019,user_055,2025-10-08 08:34:53,Watching the stars tonight — feeling peaceful and blessed.,44,30,nature.com,0.9,0,74,False,False,N/A
POST_0208,user_094,2025-10-03 03:09:09,Check out this recipe I tried today. It turned out delicious! #blessed #grateful,25,11,UNKNOWN,0.26,0,36,True,True,N/A
POST_0139,user_095,2025-09-11 23:22:21,Just planted some vegetables in my garden. #blessed #grateful,27,76,un.org,0.6,0,103,False,False,N/A
POST_0109,user_047,2025-09-13 19:51:46,Amazing day volunteering at the local shelter.,24,84,theguardian.com,0.83,0,108,False,False,N/A
POST_0263,user_074,2025-09-09 07:38:51,BREAKING NEWS: CELEBRITY DIED! (ACTUALLY FAKE) SHARE NOW!,790,640,worldalert24.net,-0.77,1,1430,True,True,N/A
POST_0285,user_123,2025-09-27 03:20:39,URGENT WARNING! SOMETHING TERRIBLE HAPPENING RIGHT NOW!,990,628,fakehealthtips.org,-0.22,1,1618,True,True,N/A
POST_0300,user_114,2025-09-23 19:51:43,THIS NATURAL CURE DESTROYS CANCER! BIG PHARMA DOESN'T WANT YOU TO KNOW!,131,425,UNKNOWN,-0.71,1,556,True,True,N/A
POST_0003,user_115,2025-09-26 23:38:02,Tried a new restaurant today and the food was incredible!,0,25,reuters.com,0.32,0,25,False,False,N/A
POST_0114,user_059,2025-09-28 02:00:47,Finished my first marathon today! Feeling accomplished. #blessed #grateful,12,84,UNKNOWN,0.7,0,96,False,False,N/A
POST_0133,user_136,2025-09-18 05:18:45,Great concert last night. The band was fantastic.,27,17,bbc.com,0.78,0,44,False,False,N/A
POST_0292,user_085,2025-09-26 04:15:21,BANNED BY MAINSTREAM MEDIA! THE TRUTH THEY DON'T WANT YOU TO SEE!,916,614,conspiracy-truth.org,-0.45,1,1530,True,True,N/A
POST_0160,user_085,2025-09-12 08:29:31,New blog post is up! Sharing my travel experiences from Japan.,18,37,bloomberg.com,0.87,0,55,False,False,N/A
POST_0215,user_135,2025-09-29 14:25:56,So grateful for the support of my friends and family.,24,23,national-geographic.com,0.13,0,47,False,False,N/A
POST_0123,user_139,2025-09-22 09:33:53,Supporting local businesses is always a good idea.,9,58,un.org,0.49,0,67,False,False,N/A
POST_0185,user_076,2025-09-18 05:24:52,Congratulations to our team for winning the championship!,27,26,reuters.com,0.46,0,53,False,False,N/A
POST_0194,user_147,2025-09-20 05:37:42,Just finished reading an amazing book! Highly recommend it.,8,83,bbc.com,0.35,0,91,False,False,N/A
POST_0249,user_089,2025-10-09 11:28:31,Tried a new restaurant today and the food was incredible!,50,72,UNKNOWN,0.43,0,122,False,False,N/A
POST_0156,user_130,2025-09-21 05:23:42,Congratulations to our team for winning the championship!,50,99,theguardian.com,0.83,0,149,False,False,N/A
POST_0221,user_102,2025-10-05 02:35:58,Weekend hike was breathtaking. Can’t wait to go back!,9,42,UNKNOWN,0.86,0,51,False,False,N/A
POST_0060,user_107,2025-09-09 21:39:33,Great concert last night. The band was fantastic.,24,79,nytimes.com,0.79,0,103,False,False,N/A
POST_0079,user_135,2025-09-27 23:53:00,Proud of my little sister for graduating with honors!,12,42,UNKNOWN,0.24,0,54,False,False,N/A
POST_0196,user_089,2025-09-13 08:26:44,Morning workout complete. Ready to start the day!,11,21,UNKNOWN,0.83,0,32,False,False,N/A
POST_0014,user_088,2025-09-12 00:13:17,Tried a new restaurant today and the food was incredible! #blessed #grateful,29,5,time.com,0.68,0,34,False,False,N/A
POST_0043,user_121,2025-09-15 21:39:05,Movie night with friends. Perfect way to end the week. #blessed #grateful,29,49,UNKNOWN,0.74,0,78,False,False,N/A
POST_0096,user_141,2025-09-13 00:15:03,Beautiful sunset at the beach today. Nature is incredible.,44,67,UNKNOWN,0.88,0,111,False,False,N/A
POST_0286,user_138,2025-09-28 11:44:12,ALIENS HAVE BEEN LIVING AMONG US SINCE 1947 — SCIENTISTS CONFIRM!,211,454,banned-truth.info,-0.78,0,665,True,True,N/A
POST_0065,user_098,2025-09-17 04:03:00,Great concert last night. The band was fantastic. #blessed #grateful,5,65,UNKNOWN,0.53,0,70,False,False,N/A
POST_0093,user_027,2025-10-05 20:07:33,Celebrating our anniversary today. Love you honey!,44,68,UNKNOWN,0.86,0,112,False,False,N/A
POST_0212,user_101,2025-09-28 14:39:26,Watching the stars tonight — feeling peaceful and blessed.,37,48,UNKNOWN,0.51,0,85,False,False,N/A
POST_0241,user_108,2025-09-20 03:15:02,Just finished a coding project I’ve been working on for weeks!,24,53,UNKNOWN,0.87,0,77,False,False,N/A
POST_0259,user_126,2025-09-22 20:32:57,SCIENTISTS ADMIT THE EARTH IS ACTUALLY FLAT!,460,373,UNKNOWN,-0.52,0,833,True,True,N/A
POST_0078,user_050,2025-09-18 18:33:41,Just adopted a cute puppy. Meet Max!,48,93,UNKNOWN,0.27,0,141,False,False,N/A
POST_0177,user_093,2025-09-11 07:20:39,Weekend hike was breathtaking. Can’t wait to go back!,50,69,UNKNOWN,0.41,0,119,False,False,N/A
POST_0052,user_022,2025-09-18 07:28:47,Supporting local businesses is always a good idea.,39,47,UNKNOWN,0.86,0,86,False,False,N/A
POST_0186,user_091,2025-09-28 04:03:47,Supporting local businesses is always a good idea. #blessed #grateful,50,12,UNKNOWN,0.61,0,62,False,False,N/A
POST_0200,user_008,2025-09-10 16:27:56,Beautiful sunset at the beach today. Nature is incredible. #blessed #grateful,36,38,who.int,0.56,0,74,False,False,N/A
POST_0230,user_050,2025-09-14 10:40:47,Finished my first marathon today! Feeling accomplished.,25,59,UNKNOWN,0.17,0,84,False,False,N/A
POST_0113,user_145,2025-10-06 12:35:54,Movie night with friends. Perfect way to end the week.,3,82,un.org,0.82,0,85,False,False,N/A
POST_0041,user_061,2025-10-05 20:37:58,Supporting local businesses is always a good idea.,11,57,UNKNOWN,0.69,0,68,False,False,N/A
POST_0032,user_081,2025-09-15 23:11:15,Family gathering this weekend was so much fun.,42,87,UNKNOWN,0.35,0,129,False,False,N/A
POST_0005,user_097,2025-09-11 08:05:00,Morning workout complete. Ready to start the day!,40,84,reuters.com,0.56,0,124,False,False,N/A
POST_0228,user_086,2025-09-18 05:27:41,Watching the stars tonight — feeling peaceful and blessed.,33,68,wikipedia.org,0.78,0,101,False,False,N/A
POST_0219,user_124,2025-09-14 22:03:42,Learning to play the guitar — progress feels great!,19,33,scientificamerican.com,0.72,0,52,False,False,N/A
POST_0026,user_139,2025-10-04 14:52:06,Beautiful sunset at the beach today. Nature is incredible.,48,35,UNKNOWN,0.49,0,83,False,False,N/A
POST_0012,user_024,2025-10-02 16:41:14,Check out this recipe I tried today. It turned out delicious!,9,85,UNKNOWN,0.64,0,94,False,False,N/A
POST_0013,user_098,2025-09-28 05:19:23,Watching the stars tonight — feeling peaceful and blessed.,35,6,bbc.com,0.65,0,41,False,False,N/A
POST_0088,user_140,2025-09-16 10:56:05,Family gathering this weekend was so much fun.,17,23,UNKNOWN,0.23,0,40,False,False,N/A
POST_0203,user_082,2025-10-02 02:11:15,Watching the stars tonight — feeling peaceful and blessed.,48,52,UNKNOWN,0.18,0,100,False,False,N/A
POST_0145,user_125,2025-09-25 12:05:09,Happy birthday to my best friend! Hope you have a wonderful day.,14,55,nytimes.com,0.11,0,69,True,True,N/A
POST_0297,user_037,2025-09-25 03:12:45,BANNED by mainstream media! The truth they don't want you to see!,241,788,conspiracy-truth.org,-0.56,1,1029,True,True,N/A
POST_0243,user_077,2025-09-23 12:32:41,Just finished a coding project I’ve been working on for weeks!,27,73,UNKNOWN,0.28,0,100,False,False,N/A
POST_0141,user_090,2025-09-08 20:41:16,Finished my first marathon today! Feeling accomplished. #blessed #grateful,36,89,UNKNOWN,0.21,0,125,False,False,N/A
POST_0260,user_139,2025-09-28 16:19:09,BANNED BY MAINSTREAM MEDIA! THE TRUTH THEY DON'T WANT YOU TO SEE!,959,276,the-real-insider.net,-0.87,1,1235,True,True,N/A
POST_0073,user_069,2025-09-18 22:40:06,Morning workout complete. Ready to start the day!,5,40,national-geographic.com,0.7,0,45,False,False,N/A
POST_0252,user_024,2025-09-26 14:39:19,Morning workout complete. Ready to start the day! #blessed #grateful,3,39,UNKNOWN,0.58,0,42,False,False,N/A
POST_0295,user_081,2025-09-28 03:25:32,NASA ADMITS THE MOON LANDING WAS FAKED ALL ALONG!,701,316,deepstateupdate.info,-0.58,0,1017,True,True,N/A
POST_0284,user_036,2025-09-29 00:01:23,THIS NATURAL CURE DESTROYS CANCER! BIG PHARMA DOESN'T WANT YOU TO KNOW!,774,357,fakehealthtips.org,-0.64,1,1131,True,True,N/A
POST_0055,user_028,2025-10-03 04:00:18,Just finished reading an amazing book! Highly recommend it. #blessed #grateful,44,71,UNKNOWN,0.55,0,115,False,False,N/A
POST_0110,user_066,2025-09-22 23:28:07,Check out this recipe I tried today. It turned out delicious!,29,41,wikipedia.org,0.16,0,70,False,False,N/A
