post_id,user_id,timestamp,post_content,num_shares,num_reactions,source_link,sentiment_score,flagged,post_content_normalized,word_count,contains_link,emotion_intensity,hour_of_day,engagement_rate,suspicious_keyword_count,day_of_week
POST_0191,user_126,2025-09-14 17:55:01,Finished my first marathon today! Feeling accomplished.,4,62,UNKNOWN,0.67,False,finished my first marathon today! feeling accomplished.,7,False,0.67,17,66,0,Sunday
POST_0184,user_022,2025-10-02 03:51:34,Amazing day volunteering at the local shelter.,38,28,UNKNOWN,0.36,False,amazing day volunteering at the local shelter.,7,False,0.36,3,66,0,Thursday
POST_0119,user_102,2025-09-08 23:20:14,Just planted some vegetables in my garden.,29,52,bloomberg.com,0.31,False,just planted some vegetables in my garden.,7,True,0.31,23,81,0,Monday
POST_0159,user_094,2025-09-20 00:10:33,Amazing day volunteering at the local shelter.,49,48,nytimes.com,0.73,False,amazing day volunteering at the local shelter.,7,True,0.73,0,97,0,Saturday
POST_0201,user_128,2025-10-07 11:20:25,Watching the stars tonight — feeling peaceful and blessed.,41,43,UNKNOWN,0.74,False,watching the stars tonight feeling peaceful and blessed.,8,False,0.74,11,84,0,Tuesday
POST_0115,user_036,2025-09-28 18:43:47,Just finished a coding project I’ve been working on for weeks!,41,10,UNKNOWN,0.45,False,just finished a coding project ive been working on for weeks!,11,False,0.45,18,51,0,Sunday
POST_0023,user_025,2025-09-30 04:08:34,Celebrating our anniversary today. Love you honey!,26,64,nytimes.com,0.64,False,celebrating our anniversary today. love you honey!,7,True,0.64,4,90,0,Tuesday
POST_0170,user_073,2025-09-10 20:03:35,Amazing day volunteering at the local shelter. #blessed #grateful,32,23,bbc.com,0.86,False,amazing day volunteering at the local shelter. blessed grateful,9,True,0.86,20,55,0,Wednesday
POST_0270,user_100,2025-09-30 08:07:31,THIS ONE WEIRD TRICK WILL SOLVE ALL YOUR PROBLEMS INSTANTLY!,873,343,beforetheydelete.com,-0.39,True,this one weird trick will solve all your problems instantly!,10,True,0.39,8,1216,0,Tuesday
POST_0246,user_060,2025-09-25 21:35:02,Beautiful sunset at the beach today. Nature is incredible.,49,12,UNKNOWN,0.89,False,beautiful sunset at the beach today. nature is incredible.,9,False,0.89,21,61,0,Thursday
POST_0169,user_036,2025-10-05 22:49:48,Family gathering this weekend was so much fun. #blessed #grateful,30,52,UNKNOWN,0.18,False,family gathering this weekend was so much fun. blessed grateful,10,False,0.18,22,82,0,Sunday
POST_0134,user_142,2025-10-01 21:13:35,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,14,57,UNKNOWN,0.46,False,new blog post is up! sharing my travel experiences from japan. blessed grateful,13,False,0.46,21,71,0,Wednesday
POST_0121,user_017,2025-09-29 05:44:51,Watching the stars tonight — feeling peaceful and blessed.,19,88,UNKNOWN,0.21,False,watching the stars tonight feeling peaceful and blessed.,8,False,0.21,5,107,0,Monday
POST_0190,user_133,2025-09-21 07:53:23,Supporting local businesses is always a good idea.,49,38,national-geographic.com,0.9,False,supporting local businesses is always a good idea.,8,True,0.9,7,87,0,Sunday
POST_0054,user_148,2025-09-15 13:30:31,Congratulations to our team for winning the championship!,31,56,UNKNOWN,0.62,False,congratulations to our team for winning the championship!,8,False,0.62,13,87,0,Monday
POST_0042,user_106,2025-10-04 12:41:54,Great concert last night. The band was fantastic. #blessed #grateful,15,39,UNKNOWN,0.66,False,great concert last night. the band was fantastic. blessed grateful,10,False,0.66,12,54,0,Saturday
POST_0232,user_078,2025-09-27 14:22:07,Loving the new coffee shop downtown. Great atmosphere. #blessed #grateful,16,88,UNKNOWN,0.29,False,loving the new coffee shop downtown. great atmosphere. blessed grateful,10,False,0.29,14,104,0,Saturday
POST_0129,user_005,2025-09-13 22:49:15,Just adopted a cute puppy. Meet Max!,47,58,UNKNOWN,0.7,False,just adopted a cute puppy. meet max!,7,False,0.7,22,105,0,Saturday
POST_0187,user_041,2025-10-08 14:56:01,Just planted some vegetables in my garden.,38,91,nytimes.com,0.2,False,just planted some vegetables in my garden.,7,True,0.2,14,129,0,Wednesday
POST_0229,user_029,2025-09-18 20:32:36,Morning workout complete. Ready to start the day!,41,37,nytimes.com,0.69,False,morning workout complete. ready to start the day!,8,True,0.69,20,78,0,Thursday
POST_0089,user_146,2025-10-08 00:14:14,Finished my first marathon today! Feeling accomplished.,29,93,UNKNOWN,0.42,False,finished my first marathon today! feeling accomplished.,7,False,0.42,0,122,0,Wednesday
POST_0044,user_050,2025-09-21 01:04:02,Just adopted a cute puppy. Meet Max!,4,40,UNKNOWN,0.51,False,just adopted a cute puppy. meet max!,7,False,0.51,1,44,0,Sunday
POST_0248,user_106,2025-09-17 22:49:42,Weekend hike was breathtaking. Can’t wait to go back!,37,99,bloomberg.com,0.64,False,weekend hike was breathtaking. cant wait to go back!,9,True,0.64,22,136,0,Wednesday
POST_0124,user_072,2025-09-10 13:09:20,Celebrating our anniversary today. Love you honey! #blessed #grateful,28,61,un.org,0.39,False,celebrating our anniversary today. love you honey! blessed grateful,9,True,0.39,13,89,0,Wednesday
POST_0075,user_071,2025-09-25 15:19:19,Loving the new coffee shop downtown. Great atmosphere.,5,35,theguardian.com,0.54,False,loving the new coffee shop downtown. great atmosphere.,8,True,0.54,15,40,0,Thursday
POST_0074,user_098,2025-09-18 15:18:01,So grateful for the support of my friends and family.,20,28,UNKNOWN,0.38,False,so grateful for the support of my friends and family.,10,False,0.38,15,48,0,Thursday
POST_0062,user_125,2025-09-15 23:13:38,Watching the stars tonight — feeling peaceful and blessed. #blessed #grateful,1,54,UNKNOWN,0.64,False,watching the stars tonight feeling peaceful and blessed. blessed grateful,10,False,0.64,23,55,0,Monday
POST_0294,user_138,2025-09-14 02:06:19,YOU WON'T BELIEVE WHAT CELEBRITIES ARE SECRETLY DOING! CLICK NOW!,568,316,UNKNOWN,-0.3,True,you wont believe what celebrities are secretly doing! click now!,10,False,0.3,2,884,2,Sunday
POST_0021,user_019,2025-10-01 10:49:21,So grateful for the support of my friends and family.,4,9,bbc.com,0.51,False,so grateful for the support of my friends and family.,10,True,0.51,10,13,0,Wednesday
POST_0176,user_037,2025-09-18 03:46:46,So grateful for the support of my friends and family.,22,35,UNKNOWN,0.25,False,so grateful for the support of my friends and family.,10,False,0.25,3,57,0,Thursday
POST_0143,user_146,2025-09-27 17:42:10,Supporting local businesses is always a good idea.,9,25,nytimes.com,0.64,False,supporting local businesses is always a good idea.,8,True,0.64,17,34,0,Saturday
POST_0130,user_093,2025-09-25 08:52:35,Proud of my little sister for graduating with honors!,32,33,nytimes.com,0.68,False,proud of my little sister for graduating with honors!,9,True,0.68,8,65,0,Thursday
POST_0239,user_079,2025-10-01 15:11:23,Morning workout complete. Ready to start the day!,0,100,UNKNOWN,0.16,False,morning workout complete. ready to start the day!,8,False,0.16,15,100,0,Wednesday
POST_0207,user_127,2025-09-28 11:29:37,Beautiful sunset at the beach today. Nature is incredible.,18,73,UNKNOWN,0.19,False,beautiful sunset at the beach today. nature is incredible.,9,False,0.19,11,91,0,Sunday
POST_0152,user_061,2025-09-11 19:02:19,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,11,82,UNKNOWN,0.71,False,new blog post is up! sharing my travel experiences from japan. blessed grateful,13,False,0.71,19,93,0,Thursday
POST_0063,user_120,2025-10-07 19:25:41,Movie night with friends. Perfect way to end the week. #blessed #grateful,1,55,UNKNOWN,0.63,False,movie night with friends. perfect way to end the week. blessed grateful,12,False,0.63,19,56,0,Tuesday
POST_0086,user_001,2025-09-22 05:30:45,Tried a new restaurant today and the food was incredible!,30,42,UNKNOWN,0.33,False,tried a new restaurant today and the food was incredible!,10,False,0.33,5,72,0,Monday
POST_0008,user_042,2025-09-23 03:04:06,Tried a new restaurant today and the food was incredible! #blessed #grateful,40,93,UNKNOWN,0.65,False,tried a new restaurant today and the food was incredible! blessed grateful,12,False,0.65,3,133,0,Tuesday
POST_0255,user_062,2025-09-26 01:35:25,Family gathering this weekend was so much fun.,24,64,UNKNOWN,0.39,False,family gathering this weekend was so much fun.,8,False,0.39,1,88,0,Friday
POST_0267,user_085,2025-09-26 18:43:40,THIS NATURAL CURE DESTROYS CANCER! BIG PHARMA DOESN'T WANT YOU TO KNOW!,143,435,UNKNOWN,-0.29,True,this natural cure destroys cancer! big pharma doesnt want you to know!,12,False,0.29,18,578,1,Friday
POST_0250,user_048,2025-10-03 08:16:22,Check out this recipe I tried today. It turned out delicious!,14,43,wikipedia.org,0.74,False,check out this recipe i tried today. it turned out delicious!,11,True,0.74,8,57,0,Friday
POST_0007,user_091,2025-09-15 12:03:51,Just planted some vegetables in my garden.,43,87,UNKNOWN,0.61,False,just planted some vegetables in my garden.,7,False,0.61,12,130,0,Monday
POST_0233,user_079,2025-09-14 03:29:39,Weekend hike was breathtaking. Can’t wait to go back!,45,44,bloomberg.com,0.83,False,weekend hike was breathtaking. cant wait to go back!,9,True,0.83,3,89,0,Sunday
POST_0051,user_083,2025-09-23 05:14:50,So grateful for the support of my friends and family.,13,70,UNKNOWN,0.82,False,so grateful for the support of my friends and family.,10,False,0.82,5,83,0,Tuesday
POST_0261,user_060,2025-09-11 12:55:07,BREAKING! Scientists discover cure for all diseases! Government hiding it from you!,323,717,fakenews-source.net,-0.47,True,breaking! scientists discover cure for all diseases! government hiding it from you!,12,True,0.47,12,1040,3,Thursday
POST_0066,user_018,2025-10-03 10:48:55,Just planted some vegetables in my garden.,1,36,UNKNOWN,0.12,False,just planted some vegetables in my garden.,7,False,0.12,10,37,0,Friday
POST_0067,user_122,2025-09-29 18:22:20,Check out this recipe I tried today. It turned out delicious!,29,94,UNKNOWN,0.4,False,check out this recipe i tried today. it turned out delicious!,11,False,0.4,18,123,0,Monday
POST_0027,user_016,2025-09-14 02:46:31,Family gathering this weekend was so much fun. #blessed #grateful,16,63,UNKNOWN,0.66,False,family gathering this weekend was so much fun. blessed grateful,10,False,0.66,2,79,0,Sunday
POST_0164,user_125,2025-09-14 21:54:16,Family gathering this weekend was so much fun.,4,42,bbc.com,0.51,False,family gathering this weekend was so much fun.,8,True,0.51,21,46,0,Sunday
POST_0004,user_087,2025-09-11 17:10:13,Family gathering this weekend was so much fun. #blessed #grateful,22,49,who.int,0.13,False,family gathering this weekend was so much fun. blessed grateful,10,True,0.13,17,71,0,Thursday
POST_0223,user_028,2025-09-28 14:23:22,Learning to play the guitar — progress feels great!,15,11,cnn.com,0.28,False,learning to play the guitar progress feels great!,8,True,0.28,14,26,0,Sunday
POST_0157,user_083,2025-09-28 06:18:16,So grateful for the support of my friends and family.,3,62,UNKNOWN,0.82,False,so grateful for the support of my friends and family.,10,False,0.82,6,65,0,Sunday
POST_0098,user_031,2025-09-28 19:18:06,Happy birthday to my best friend! Hope you have a wonderful day.,45,42,UNKNOWN,0.32,False,happy birthday to my best friend! hope you have a wonderful day.,12,False,0.32,19,87,0,Sunday
POST_0011,user_068,2025-10-02 09:14:04,Supporting local businesses is always a good idea.,37,56,UNKNOWN,0.9,False,supporting local businesses is always a good idea.,8,False,0.9,9,93,0,Thursday
POST_0036,user_073,2025-09-27 21:31:28,Tried a new restaurant today and the food was incredible!,13,92,scientificamerican.com,0.5,False,tried a new restaurant today and the food was incredible!,10,True,0.5,21,105,0,Saturday
POST_0167,user_115,2025-09-16 08:01:26,Just finished a coding project I’ve been working on for weeks! #blessed #grateful,50,65,national-geographic.com,0.39,False,just finished a coding project ive been working on for weeks! blessed grateful,13,True,0.39,8,115,0,Tuesday
POST_0131,user_118,2025-09-28 14:49:37,Weekend hike was breathtaking. Can’t wait to go back!,25,59,theguardian.com,0.67,False,weekend hike was breathtaking. cant wait to go back!,9,True,0.67,14,84,0,Sunday
POST_0120,user_096,2025-09-12 12:00:37,Movie night with friends. Perfect way to end the week. #blessed #grateful,1,84,cnn.com,0.36,False,movie night with friends. perfect way to end the week. blessed grateful,12,True,0.36,12,85,0,Friday
POST_0142,user_024,2025-10-02 06:59:31,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,26,63,UNKNOWN,0.4,False,new blog post is up! sharing my travel experiences from japan. blessed grateful,13,False,0.4,6,89,0,Thursday
POST_0099,user_063,2025-09-23 07:55:31,Proud of my little sister for graduating with honors! #blessed #grateful,12,81,UNKNOWN,0.8,False,proud of my little sister for graduating with honors! blessed grateful,11,False,0.8,7,93,0,Tuesday
POST_0224,user_106,2025-09-19 13:16:13,Just adopted a cute puppy. Meet Max!,43,22,UNKNOWN,0.54,False,just adopted a cute puppy. meet max!,7,False,0.54,13,65,0,Friday
POST_0076,user_126,2025-09-22 14:51:25,Just adopted a cute puppy. Meet Max!,14,56,scientificamerican.com,0.63,False,just adopted a cute puppy. meet max!,7,True,0.63,14,70,0,Monday
POST_0242,user_090,2025-09-11 20:20:32,Tried a new restaurant today and the food was incredible!,33,21,national-geographic.com,0.77,False,tried a new restaurant today and the food was incredible!,10,True,0.77,20,54,0,Thursday
POST_0111,user_077,2025-09-29 04:30:23,Just planted some vegetables in my garden. #blessed #grateful,29,43,UNKNOWN,0.41,False,just planted some vegetables in my garden. blessed grateful,9,False,0.41,4,72,0,Monday
POST_0173,user_036,2025-10-03 13:16:35,Proud of my little sister for graduating with honors!,39,5,nytimes.com,0.3,False,proud of my little sister for graduating with honors!,9,True,0.3,13,44,0,Friday
POST_0175,user_118,2025-09-10 18:40:04,New blog post is up! Sharing my travel experiences from Japan. #blessed #grateful,31,81,UNKNOWN,0.61,False,new blog post is up! sharing my travel experiences from japan. blessed grateful,13,False,0.61,18,112,0,Wednesday
POST_0283,user_119,2025-10-09 12:59:35,BREAKING! SCIENTISTS DISCOVER CURE FOR ALL DISEASES! GOVERNMENT HIDING IT FROM YOU!,916,498,clickbait-central.com,-0.33,True,breaking! scientists discover cure for all diseases! government hiding it from you!,12,True,0.33,12,1414,3,Thursday
POST_0136,user_025,2025-10-02 14:09:58,Congratulations to our team for winning the championship!,8,76,UNKNOWN,0.87,False,congratulations to our team for winning the championship!,8,False,0.87,14,84,0,Thursday
POST_0189,user_036,2025-09-25 02:11:27,Just finished a coding project I’ve been working on for weeks!,41,40,UNKNOWN,0.19,False,just finished a coding project ive been working on for weeks!,11,False,0.19,2,81,0,Thursday
POST_0103,user_098,2025-09-21 12:36:59,Learning to play the guitar — progress feels great! #blessed #grateful,41,24,UNKNOWN,0.13,False,learning to play the guitar progress feels great! blessed grateful,10,False,0.13,12,65,0,Sunday
POST_0281,user_046,2025-10-09 03:06:25,Amazing discovery that pharmaceutical companies are hiding!,852,702,fakehealthtips.org,-0.73,True,amazing discovery that pharmaceutical companies are hiding!,7,True,0.73,3,1554,0,Thursday
POST_0140,user_007,2025-09-28 12:39:51,Weekend hike was breathtaking. Can’t wait to go back!,17,8,UNKNOWN,0.66,False,weekend hike was breathtaking. cant wait to go back!,9,False,0.66,12,25,0,Sunday
POST_0081,user_004,2025-09-27 00:16:37,Proud of my little sister for graduating with honors!,28,48,UNKNOWN,0.14,False,proud of my little sister for graduating with honors!,9,False,0.14,0,76,0,Saturday
POST_0028,user_143,2025-09-30 13:17:16,Supporting local businesses is always a good idea. #blessed #grateful,12,42,UNKNOWN,0.15,False,supporting local businesses is always a good idea. blessed grateful,10,False,0.15,13,54,0,Tuesday
POST_0155,user_019,2025-09-18 05:14:09,Beautiful sunset at the beach today. Nature is incredible.,3,52,bbc.com,0.62,False,beautiful sunset at the beach today. nature is incredible.,9,True,0.62,5,55,0,Thursday
POST_0274,user_040,2025-10-02 03:06:30,BREAKING NEWS: Celebrity died! (actually fake) Share now!,209,293,UNKNOWN,-0.68,True,breaking news celebrity died! actually fake share now!,8,False,0.68,3,502,1,Thursday
POST_0057,user_141,2025-09-22 20:34:02,Celebrating our anniversary today. Love you honey! #blessed #grateful,30,62,UNKNOWN,0.3,False,celebrating our anniversary today. love you honey! blessed grateful,9,False,0.3,20,92,0,Monday
POST_0289,user_007,2025-09-23 18:04:33,NASA admits the moon landing was faked all along!,187,318,beforetheydelete.com,-0.8,True,nasa admits the moon landing was faked all along!,9,True,0.8,18,505,0,Tuesday
POST_0245,user_018,2025-09-12 09:48:35,Just finished reading an amazing book! Highly recommend it.,38,91,nytimes.com,0.3,False,just finished reading an amazing book! highly recommend it.,9,True,0.3,9,129,0,Friday
POST_0206,user_079,2025-09-23 14:51:32,Amazing day volunteering at the local shelter.,32,63,national-geographic.com,0.57,False,amazing day volunteering at the local shelter.,7,True,0.57,14,95,0,Tuesday
POST_0002,user_024,2025-09-14 22:18:45,Celebrating our anniversary today. Love you honey!,1,76,UNKNOWN,0.62,False,celebrating our anniversary today. love you honey!,7,False,0.62,22,77,0,Sunday
POST_0181,user_052,2025-10-06 16:07:06,Family gathering this weekend was so much fun.,19,70,UNKNOWN,0.75,False,family gathering this weekend was so much fun.,8,False,0.75,16,89,0,Monday
POST_0068,user_030,2025-10-02 20:05:13,Watching the stars tonight — feeling peaceful and blessed.,37,8,forbes.com,0.64,False,watching the stars tonight feeling peaceful and blessed.,8,True,0.64,20,45,0,Thursday
POST_0009,user_059,2025-10-04 16:37:27,Just finished a coding project I’ve been working on for weeks! #blessed #grateful,25,39,UNKNOWN,0.83,False,just finished a coding project ive been working on for weeks! blessed grateful,13,False,0.83,16,64,0,Saturday
POST_0128,user_139,2025-09-16 19:53:49,Check out this recipe I tried today. It turned out delicious! #blessed #grateful,1,21,UNKNOWN,0.73,False,check out this recipe i tried today. it turned out delicious! blessed grateful,13,False,0.73,19,22,0,Tuesday
POST_0237,user_138,2025-09-12 20:07:01,Amazing day volunteering at the local shelter.,33,61,UNKNOWN,0.26,False,amazing day volunteering at the local shelter.,7,False,0.26,20,94,0,Friday
POST_0182,user_049,2025-09-18 02:41:56,Proud of my little sister for graduating with honors!,3,88,UNKNOWN,0.2,False,proud of my little sister for graduating with honors!,9,False,0.2,2,91,0,Thursday
POST_0227,user_102,2025-10-04 05:58:06,Beautiful sunset at the beach today. Nature is incredible. #blessed #grateful,47,42,nytimes.com,0.34,False,beautiful sunset at the beach today. nature is incredible. blessed grateful,11,True,0.34,5,89,0,Saturday
POST_0217,user_016,2025-09-30 19:19:20,Watching the stars tonight — feeling peaceful and blessed. #blessed #grateful,35,46,theguardian.com,0.52,False,watching the stars tonight feeling peaceful and blessed. blessed grateful,10,True,0.52,19,81,0,Tuesday
POST_0105,user_040,2025-09-11 06:36:23,Supporting local businesses is always a good idea.,21,84,bloomberg.com,0.16,False,supporting local businesses is always a good idea.,8,True,0.16,6,105,0,Thursday
POST_0100,user_107,2025-09-19 07:03:59,Congratulations to our team for winning the championship!,0,41,un.org,0.57,False,congratulations to our team for winning the championship!,8,True,0.57,7,41,0,Friday
POST_0049,user_105,2025-09-19 03:30:25,Finished my first marathon today! Feeling accomplished.,35,21,UNKNOWN,0.63,False,finished my first marathon today! feeling accomplished.,7,False,0.63,3,56,0,Friday
POST_0018,user_137,2025-10-02 18:54:49,Congratulations to our team for winning the championship! #blessed #grateful,30,75,UNKNOWN,0.52,False,congratulations to our team for winning the championship! blessed grateful,10,False,0.52,18,105,0,Thursday
POST_0039,user_140,2025-09-10 02:23:42,Learning to play the guitar — progress feels great! #blessed #grateful,9,60,UNKNOWN,0.35,False,learning to play the guitar progress feels great! blessed grateful,10,False,0.35,2,69,0,Wednesday
POST_0165,user_135,2025-09-10 12:08:03,Tried a new restaurant today and the food was incredible! #blessed #grateful,49,84,UNKNOWN,0.4,False,tried a new restaurant today and the food was incredible! blessed grateful,12,False,0.4,12,133,0,Wednesday
POST_0048,user_018,2025-10-09 12:44:28,Family gathering this weekend was so much fun.,39,45,bbc.com,0.68,False,family gathering this weekend was so much fun.,8,True,0.68,12,84,0,Thursday
POST_0158,user_022,2025-09-25 10:57:09,Great concert last night. The band was fantastic. #blessed #grateful,15,95,UNKNOWN,0.45,False,great concert last night. the band was fantastic. blessed grateful,10,False,0.45,10,110,0,Thursday
POST_0271,user_089,2025-09-09 18:13:21,NASA ADMITS THE MOON LANDING WAS FAKED ALL ALONG!,958,277,fakehealthtips.org,-0.47,True,nasa admits the moon landing was faked all along!,9,True,0.47,18,1235,0,Tuesday
POST_0258,user_098,2025-09-26 22:17:42,Amazing discovery that pharmaceutical companies are hiding!,770,545,UNKNOWN,-0.32,True,amazing discovery that pharmaceutical companies are hiding!,7,False,0.32,22,1315,0,Friday
POST_0210,user_087,2025-09-26 02:34:16,Happy birthday to my best friend! Hope you have a wonderful day.,12,82,UNKNOWN,0.5,False,happy birthday to my best friend! hope you have a wonderful day.,12,False,0.5,2,94,0,Friday
POST_0094,user_117,2025-09-11 01:02:27,Just finished a coding project I’ve been working on for weeks!,7,56,un.org,0.89,False,just finished a coding project ive been working on for weeks!,11,True,0.89,1,63,0,Thursday
POST_0172,user_008,2025-09-18 18:39:52,Congratulations to our team for winning the championship!,41,47,wikipedia.org,0.13,False,congratulations to our team for winning the championship!,8,True,0.13,18,88,0,Thursday
POST_0050,user_045,2025-09-28 09:05:32,Movie night with friends. Perfect way to end the week.,35,5,UNKNOWN,0.27,False,movie night with friends. perfect way to end the week.,10,False,0.27,9,40,0,Sunday
POST_0030,user_018,2025-09-27 17:30:02,Congratulations to our team for winning the championship! #blessed #grateful,15,56,UNKNOWN,0.81,False,congratulations to our team for winning the championship! blessed grateful,10,False,0.81,17,71,0,Saturday
POST_0019,user_055,2025-10-08 08:34:53,Watching the stars tonight — feeling peaceful and blessed.,44,30,nature.com,0.9,False,watching the stars tonight feeling peaceful and blessed.,8,True,0.9,8,74,0,Wednesday
POST_0208,user_094,2025-10-03 03:09:09,Check out this recipe I tried today. It turned out delicious! #blessed #grateful,25,11,UNKNOWN,0.26,False,check out this recipe i tried today. it turned out delicious! blessed grateful,13,False,0.26,3,36,0,Friday
POST_0139,user_095,2025-09-11 23:22:21,Just planted some vegetables in my garden. #blessed #grateful,27,76,un.org,0.6,False,just planted some vegetables in my garden. blessed grateful,9,True,0.6,23,103,0,Thursday
POST_0109,user_047,2025-09-13 19:51:46,Amazing day volunteering at the local shelter.,24,84,theguardian.com,0.83,False,amazing day volunteering at the local shelter.,7,True,0.83,19,108,0,Saturday
POST_0263,user_074,2025-09-09 07:38:51,BREAKING NEWS: CELEBRITY DIED! (ACTUALLY FAKE) SHARE NOW!,790,640,worldalert24.net,-0.77,True,breaking news celebrity died! actually fake share now!,8,True,0.77,7,1430,1,Tuesday
POST_0285,user_123,2025-09-27 03:20:39,URGENT WARNING! SOMETHING TERRIBLE HAPPENING RIGHT NOW!,990,628,fakehealthtips.org,-0.22,True,urgent warning! something terrible happening right now!,7,True,0.22,3,1618,1,Saturday
POST_0300,user_114,2025-09-23 19:51:43,THIS NATURAL CURE DESTROYS CANCER! BIG PHARMA DOESN'T WANT YOU TO KNOW!,131,425,UNKNOWN,-0.71,True,this natural cure destroys cancer! big pharma doesnt want you to know!,12,False,0.71,19,556,1,Tuesday
